央视频道,#genre#
CCTV1,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV1$LR•IPV4『线路1』
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4『线路3』
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1$LR•IPV4『线路4』
CCTV2,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV2$LR•IPV4『线路1』
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4『线路3』
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2$LR•IPV4『线路4』
CCTV2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV2,http://74.48.192.96:82/live.php?id=CCTV2$LR•IPV4『线路6』
CCTV3,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV3$LR•IPV4『线路1』
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8$LR•IPV4『线路3』
CCTV3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV3,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3$LR•IPV4『线路6』
CCTV4,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV4$LR•IPV4『线路1』
CCTV4,http://74.48.192.96:82/live.php?id=CCTV4$LR•IPV4『线路3』
CCTV6,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV6$LR•IPV4『线路1』
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8$LR•IPV4『线路3』
CCTV6,http://61.156.228.12:8154/tsfile/live/0006_1.m3u8$LR•IPV4『线路4』
CCTV6,http://101.35.240.114:88/live.php?id=CCTV6$LR•IPV4『线路5』
CCTV7,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV7$LR•IPV4『线路1』
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8$LR•IPV4『线路3』
CCTV7,http://74.48.192.96:82/live.php?id=CCTV7$LR•IPV4『线路4』
CCTV8,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV8$LR•IPV4『线路1』
CCTV8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8$LR•IPV4『线路5』
CCTV8,http://101.35.240.114:88/live.php?id=CCTV8$LR•IPV4『线路6』
CCTV9,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV9$LR•IPV4『线路1』
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8$LR•IPV4『线路3』
CCTV9,http://60.16.0.216:5757/hls/10/index.m3u8$LR•IPV4『线路4』
CCTV9,http://74.48.192.96:82/live.php?id=CCTV9$LR•IPV4『线路5』
CCTV9,http://120.196.232.124:8088/PLTV/651/224/3221227570/1.m3u8?HlsProfileId=$LR•IPV4『线路6』
CCTV10,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV10$LR•IPV4『线路1』
CCTV10,http://112.27.235.94:8000/hls/11/index.m3u8$LR•IPV4『线路3』
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10$LR•IPV4『线路4』
CCTV12,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV12$LR•IPV4『线路1』
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8$LR•IPV4『线路4』
CCTV12,http://60.16.0.216:5757/hls/13/index.m3u8$LR•IPV4『线路5』
CCTV12,http://101.35.240.114:88/live.php?id=CCTV12$LR•IPV4『线路6』
CCTV12,http://120.196.232.124:8088/PLTV/651/224/3221227560/1.m3u8?HlsProfileId=$LR•IPV4『线路7』
CCTV13,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV13$LR•IPV4『线路1』
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8$LR•IPV4『线路3』
CCTV13,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV13,https://event.pull.hebtv.com/jishi/cp1.m3u8$LR•IPV4『线路5』
CCTV13,http://60.16.0.216:5757/hls/14/index.m3u8$LR•IPV4『线路6』
CCTV13,http://74.48.192.96:82/live.php?id=CCTV13$LR•IPV4『线路7』
CCTV14,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV14$LR•IPV4『线路1』
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8$LR•IPV4『线路3』
CCTV14,http://60.16.0.216:5757/hls/15/index.m3u8$LR•IPV4『线路4』
CCTV14,http://101.35.240.114:88/live.php?id=CCTV14$LR•IPV4『线路5』
CCTV15,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV15$LR•IPV4『线路1』
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8$LR•IPV4『线路3』
CCTV15,http://74.48.192.96:82/live.php?id=CCTV15$LR•IPV4『线路4』
卫视频道,#genre#
湖南卫视,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=湖南卫视$LR•IPV4『线路1』
湖南卫视,https://gitee.com/k-web/ku9/js/yiwu369/6758/raw/master/zgsj.js?id=G_HUNAN-HQ$LR•IPV4『线路3』
湖南卫视,http://pitajvsa.asuscomm.com:51728/udp/238.200.200.136:5540$LR•IPV4『线路4』
湖南卫视,http://pitajvsa.asuscomm.com:51728/udp/238.200.200.168:5540$LR•IPV4『线路5』
湖南卫视,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_HUNAN-4K/G_HUNAN-4K.m3u8$LR•IPV4『线路6』
湖南卫视,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_HUNAN-HQ/G_HUNAN-HQ.m3u8$LR•IPV4『线路7』
湖南卫视,http://202.168.168.50:5000/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
